Date Range,Grade,Pollster,Subject,Sponsor,Sample Size,Sample Type,Population,Weight,Leading Result,Leading %,Trailing Result,Trailing %,Spread
Apr. 8-13,,Survey 160,Donald Trump,,1539,,rv,,Disapprove,60%,Approve,37%,23.0
Apr. 8-10,,YouGov,Donald Trump,CBS News,2387,,a,,Disapprove,61%,Approve,39%,22.0
Apr. 1-9,,RMG Research,Donald Trump,Napolitan Institute,4000,,rv,,Disapprove,54%,Approve,45%,9.0
Apr. 6-9,,Morning Consult,Donald Trump,,2200,,rv,,Disapprove,53%,Approve,44%,9.0
Apr. 3-9,,Echelon Insights,Donald Trump,,2880,,lv,,Disapprove,56%,Approve,43%,13.0
Apr. 8-8,,J.L. Partners,Donald Trump,DailyMail.com,1013,,rv,,Disapprove,52%,Approve,39%,13.0
Apr. 1-7,,Morning Consult,Donald Trump,,45000,,a,,Disapprove,55%,Approve,39%,16.0
Apr. 3-7,,Change Research,Donald Trump,,2702,,rv,,Disapprove,56%,Approve,42%,14.0
Apr. 2-6,,Global Strategy Group,Donald Trump,Navigator Research,1000,,rv,,Disapprove,58%,Approve,40%,18.0
Apr. 3-6,,YouGov,Donald Trump,The Economist,1560,,rv,,Disapprove,56%,Approve,41%,15.0
Apr. 3-6,,YouGov,Donald Trump,The Economist,1750,,a,,Disapprove,55%,Approve,38%,17.0
Mar. 29-Apr. 3,,High Point University Survey Research Center,Donald Trump,,1001,,a,,Disapprove,53%,Approve,39%,14.0
Mar. 29-Apr. 3,,High Point University Survey Research Center,Congress,,500,,a,,Disapprove,52%,Approve,30%,22.0
Mar. 29-Apr. 3,,High Point University Survey Research Center,Supreme Court,,500,,a,,Disapprove,40%,Approve,37%,3.0
Mar. 25-Apr. 2,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,58%,Approve,40%,18.0
Mar. 31-Apr. 2,,TIPP Insights,Donald Trump,Issues & Insights,1464,,a,,Disapprove,53%,Approve,39%,14.0
Mar. 1-31,,ActiVote,Donald Trump,,598,,a,,Disapprove,55%,Approve,42%,13.0
Mar. 27-30,,YouGov,Donald Trump,The Economist,1505,,rv,,Disapprove,58%,Approve,39%,19.0
Mar. 27-30,,YouGov,Donald Trump,The Economist,1679,,a,,Disapprove,58%,Approve,35%,23.0
Mar. 27-30,,YouGov,Congress,The Economist,1505,,rv,,Disapprove,69%,Approve,12%,57.0
Mar. 27-30,,YouGov,Congress,The Economist,1679,,a,,Disapprove,63%,Approve,11%,52.0
Mar. 26-30,,CNN/SSRS,Donald Trump,,,,rv,,Disapprove,62%,Approve,38%,24.0
Mar. 26-30,,CNN/SSRS,Donald Trump,,1201,,a,,Disapprove,64%,Approve,35%,29.0
Mar. 26-30,,CNN/SSRS,JD Vance,,,,rv,,Disapprove,59%,Approve,40%,19.0
Mar. 26-30,,CNN/SSRS,JD Vance,,1201,,a,,Disapprove,62%,Approve,37%,25.0
Mar. 26-30,,Lake Research Partners,Donald Trump,Free Speech For People,800,,lv,,Disapprove,57%,Approve,38%,19.0
Mar. 26-30,,University of Massachusetts Lowell Center for Public Opinion/YouGov,Donald Trump,,1000,,a,,Disapprove,61%,Approve,39%,22.0
Mar. 27-29,,Morning Consult,Donald Trump,,2203,,rv,,Disapprove,54%,Approve,43%,11.0
Mar. 25-26,,Quantus Insights,Donald Trump,,1472,,lv,,Disapprove,57%,Approve,42%,14.4
Mar. 18-26,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,54%,Approve,45%,9.0
Mar. 25-26,,HarrisX/Harris,Donald Trump,Harvard CAPS,,,lv,,Disapprove,52%,Approve,46%,6.0
Mar. 25-26,,HarrisX/Harris,Donald Trump,Harvard CAPS,,,rv,,Disapprove,53%,Approve,43%,10.0
Mar. 25-26,,HarrisX/Harris,Congress,Harvard CAPS,2009,,rv,,Disapprove,60%,Approve,30%,30.0
Mar. 20-25,,University of Massachusetts Department of Political Science/YouGov,Donald Trump,,1000,,a,,Disapprove,62%,Approve,33%,29.0
Mar. 20-25,,University of Massachusetts Department of Political Science/YouGov,Congress,,1000,,a,,Disapprove,69%,Approve,19%,50.0
Mar. 20-25,,University of Massachusetts Department of Political Science/YouGov,Supreme Court,,1000,,a,,Disapprove,50%,Approve,35%,15.0
Mar. 22-24,,Big Data Poll,Donald Trump,Public Polling Project,3003,,rv,,Disapprove,56%,Approve,42%,14.0
Mar. 23-24,,J.L. Partners,Donald Trump,DailyMail.com,1019,,rv,,Disapprove,54%,Approve,46%,8.0
Mar. 20-23,,AP-NORC,Donald Trump,,1150,,a,,Disapprove,60%,Approve,38%,22.0
Mar. 19-23,,Quinnipiac University,Donald Trump,,1191,,rv,,Disapprove,56%,Approve,38%,18.0
Mar. 20-23,,Beacon Research/Shaw & Co. Research,Donald Trump,Fox News,1001,,rv,,Disapprove,59%,Approve,41%,18.0
Mar. 9-23,,Yale Youth Poll,Donald Trump,,3429,,rv,,Disapprove,56%,Approve,42%,14.0
Mar. 18-20,,J.L. Partners,Donald Trump,,1037,,rv,,Disapprove,53%,Approve,39%,14.0
Mar. 18-20,,J.L. Partners,JD Vance,,1037,,rv,,Disapprove,42%,Approve,37%,5.0
Mar. 16-20,,American Research Group,Donald Trump,,1008,,rv,,Disapprove,63%,Approve,34%,29.0
Mar. 16-20,,American Research Group,Donald Trump,,1100,,a,,Disapprove,63%,Approve,34%,29.0
Mar. 17-20,,YouGov,Donald Trump,CBS News,3335,,a,,Disapprove,60%,Approve,40%,20.0
Mar. 17-19,,Ipsos,Donald Trump,Reuters,1545,,a,,Disapprove,58%,Approve,40%,18.0
Mar. 11-19,,University of Maryland Program for Public Consultation,Congress,,1200,,a,,Disapprove,60%,Approve,40%,20.0
Mar. 16-18,,Tavern Research,Donald Trump,Searchlight Institute,1531,,lv,,Disapprove,55%,Approve,41%,14.0
Mar. 17-18,,Quantus Insights,Donald Trump,,1053,,lv,,Disapprove,55%,Approve,44%,11.0
Mar. 17-18,,John Zogby Strategies,Donald Trump,,1000,,lv,,Disapprove,54%,Approve,44%,10.0
Mar. 2-18,,Gallup,Congress,,1001,,a,,Disapprove,79%,Approve,16%,63.0
Mar. 16-17,,Emerson College,Donald Trump,,1000,,lv,,Disapprove,51%,Approve,42%,9.5
Mar. 12-17,,The Argument/Verasight,Donald Trump,,1519,,rv,,Disapprove,58%,Approve,40%,18.0
Mar. 12-17,,The Argument/Verasight,Donald Trump,,,,lv,,Disapprove,58%,Approve,40%,18.0
Mar. 15-17,,The Winston Group,Donald Trump,Winning the Issues,1000,,rv,,Disapprove,58%,Approve,37%,21.0
Mar. 12-16,,Echelon Insights,Donald Trump,,1033,,lv,,Disapprove,57%,Approve,41%,16.0
Mar. 13-16,,Morning Consult,Donald Trump,,2201,,rv,,Disapprove,54%,Approve,43%,11.0
Mar. 13-16,,YouGov,Donald Trump,The Economist,1429,,rv,,Disapprove,56%,Approve,41%,15.0
